"id","created_at","name","has_test","alternate_url"
"53861421","2022-03-15T10:09:32+0300","-",false,"https://hh.ru/vacancy/53861421"
"49250843","2022-03-16T10:41:54+0300","-",false,"https://hh.ru/vacancy/49250843"
"53947371","2022-03-16T17:25:13+0300","-",false,"https://hh.ru/vacancy/53947371"
"52818313","2022-03-17T12:19:58+0300","-",false,"https://hh.ru/vacancy/52818313"
"49423067","2022-03-17T12:37:57+0300","-",false,"https://hh.ru/vacancy/49423067"
"51703352","2022-03-17T12:39:28+0300","-",false,"https://hh.ru/vacancy/51703352"
"52845286","2022-03-17T17:50:52+0300","Senior",false,"https://hh.ru/vacancy/52845286"
"52851201","2022-03-17T19:53:00+0300","-",false,"https://hh.ru/vacancy/52851201"
"54010730","2022-03-17T21:02:44+0300","Junior",false,"https://hh.ru/vacancy/54010730"
"52174179","2022-03-17T22:09:15+0300","-",false,"https://hh.ru/vacancy/52174179"
"51407504","2022-03-18T10:58:28+0300","-",false,"https://hh.ru/vacancy/51407504"
"52895165","2022-03-18T12:58:48+0300","-",false,"https://hh.ru/vacancy/52895165"
"53088820","2022-03-18T15:48:42+0300","-",false,"https://hh.ru/vacancy/53088820"
"53092406","2022-03-18T17:01:36+0300","-",false,"https://hh.ru/vacancy/53092406"
"54056627","2022-03-18T17:14:09+0300","-",false,"https://hh.ru/vacancy/54056627"
"51809957","2022-03-18T19:37:51+0300","-",false,"https://hh.ru/vacancy/51809957"
"53211742","2022-03-19T11:16:44+0300","Junior",false,"https://hh.ru/vacancy/53211742"
"53935564","2022-03-19T14:09:15+0300","-",false,"https://hh.ru/vacancy/53935564"
"50536073","2022-03-19T14:37:02+0300","-",false,"https://hh.ru/vacancy/50536073"
"50751593","2022-03-19T14:38:12+0300","-",false,"https://hh.ru/vacancy/50751593"
